Number,compound,Element1,Element2,Class,Pauling EN,Martynov-Batsanov EN,Gordy EN,Mulliken EN,Allred-Rochow EN,Pauling Mean EN,Martynov-Batsanov Mean EN,Gordy Mean EN,Mulliken Mean EN,Allred-Rochow Mean EN,Pauling Ionic Character,Martynov Ionic Character,Gordy Ionic Character,Mulliken Ionic Character,Allred-Rochow Ionic Character,Sum of Valence e-,Mean # e-,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight difference,Mean atomic weight,Atomic weight sum,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2xatomic radius difference,Covalent radius sum,Mean covalent radius,Covalent radius ratio,2xcovalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zungerradius sum ratio,2xZunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2xionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2xcrystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group Number difference,Family number sum,Mean family number,Family number difference,Quantum number sum,Mean quantum number ,Quantum number difference
293,CPt,C, Pt,2,0.27,0.46,2.0962,0.67,0.824,2.415,2.14,6.6727,5.935,2.132,0.018059929,0.051525145,0.666633772,0.10615688,0.156119178,14,7,84,72,42,183.069,103.5455,207.091,2.05,1.025,0.518518519,1.3,2.07,1.035,0.592307692,1.06,3.34,1.67,0.237037037,4.12,2.06,2.05,1.025,0.518518519,1.3,1.03,0.515,0.391891892,0.9,8,4,4,24,12,4,11,5.5,3,3,1.5,1
310,NSc,N, Sc,2,1.68,1.35,3.8106,3.96,1.876,2.2,2.175,4.9781,5.32,2.128,0.506187802,0.365948438,0.973488272,0.98016684,0.585152377,8,4,28,14,14,30.94917,29.481325,58.96265,2.25,1.125,0.40625,1.9,2.19,1.095,0.520833333,1.38,3.29,1.645,0.196363636,4.42,2.21,2.25,1.125,0.40625,1.9,1.19,0.595,0.337078652,1.18,6,3,2,18,9,12,10,5,4,3,1.5,1
311,NTi,N, Ti,2,1.5,0.99,3.7475,3.85,1.686,2.29,2.355,5.00965,5.375,2.223,0.430217175,0.217315029,0.970131147,0.975415153,0.508674776,9,4.5,29,15,14.5,33.87326,30.94337,61.88674,2.05,1.025,0.464285714,1.5,2.07,1.035,0.568181818,1.14,3.12,1.56,0.209302326,4.08,2.04,2.05,1.025,0.464285714,1.5,1.05,0.525,0.4,0.9,6,3,2,19,9.5,11,10,5,4,3,1.5,1
312,NV,N, V,2,1.41,0.63,3.6813,3.7,1.536,2.335,2.535,5.04275,5.45,2.298,0.391662225,0.094461061,0.966223582,0.967369244,0.445575145,10,5,30,16,15,36.93476,32.47412,64.94824,2,1,0.481481481,1.4,1.97,0.985,0.614754098,0.94,2.97,1.485,0.222222222,3.78,1.89,2,1,0.481481481,1.4,0.98,0.49,0.441176471,0.76,6,3,2,20,10,10,10,5,4,3,1.5,1
313,NCr,N, Cr,2,1.38,0.85,3.6121,3.58,1.416,2.35,2.425,5.07735,5.51,2.358,0.378798641,0.165251669,0.961681275,0.959404579,0.394235511,11,5.5,31,17,15.5,37.98936,33.00142,66.00284,2.05,1.025,0.464285714,1.5,1.93,0.965,0.63559322,0.86,2.98,1.49,0.221311475,3.8,1.9,2.05,1.025,0.464285714,1.5,1.06,0.53,0.394736842,0.92,6,3,2,21,10.5,9,10,5,4,3,1.5,1
315,NFe,N, Fe,3,1.21,1.18,3.4644,3.24,1.266,2.435,2.26,5.1512,5.68,2.433,0.306514536,0.29397173,0.950238657,0.927516766,0.330141645,13,6.5,33,19,16.5,41.84026,34.92687,69.85374,2.05,1.025,0.464285714,1.5,1.92,0.96,0.641025641,0.84,2.65,1.325,0.255924171,3.14,1.57,2.05,1.025,0.464285714,1.5,0.99,0.495,0.434782609,0.78,6,3,2,23,11.5,7,10,5,4,3,1.5,1
316,NCo,N, Co,3,1.16,1.13,3.3858,3,1.226,2.46,2.285,5.1905,5.8,2.453,0.285662686,0.273287979,0.943068723,0.894600775,0.313239043,14,7,34,20,17,44.92646,36.46997,72.93994,2,1,0.481481481,1.4,1.91,0.955,0.646551724,0.82,2.56,1.28,0.267326733,2.96,1.48,2,1,0.481481481,1.4,0.84,0.42,0.555555556,0.48,6,3,2,24,12,6,10,5,4,3,1.5,1
327,NY,N, Y,2,1.82,1.44,3.4791,4.11,1.946,2.13,2.13,5.14385,5.245,2.093,0.563121432,0.404527458,0.951492371,0.985345752,0.611991875,8,4,46,32,23,74.89911,51.456295,102.91259,2.45,1.225,0.361111111,2.3,2.37,1.185,0.462962963,1.74,3.48,1.74,0.183673469,4.8,2.4,2.5,1.25,0.351351351,2.4,1.34,0.67,0.288461538,1.48,7,3.5,3,18,9,12,10,5,4,3,1.5,1
328,NZr,N, Zr,2,1.71,1.15,3.4313,3.66,1.746,2.185,2.275,5.16775,5.47,2.193,0.518584714,0.281525454,0.947316603,0.964877032,0.533328176,9,4.5,47,33,23.5,77.21726,52.61537,105.23074,2.2,1.1,0.419354839,1.8,2.2,1.1,0.517241379,1.4,3.365,1.6825,0.191150442,4.57,2.285,2.2,1.1,0.419354839,1.8,1.16,0.58,0.348837209,1.12,7,3.5,3,19,9.5,11,11,5.5,3,3,1.5,1
329,NNb,N, Nb,2,1.44,0.82,3.3811,3.3,1.656,2.32,2.44,5.19285,5.65,2.238,0.404527458,0.154730696,0.942614252,0.934289727,0.496204073,10,5,48,34,24,78.89964,53.45656,106.91312,2.1,1.05,0.448275862,1.6,2.09,1.045,0.559701493,1.18,3.3,1.65,0.195652174,4.44,2.22,2.1,1.05,0.448275862,1.6,1.08,0.54,0.384615385,0.96,7,3.5,3,20,10,10,11,5.5,3,3,1.5,1
